year	age	educ	degree	sex	postlife	happy	life	richwork	news	tvhours	usewww	zodiac	degree3	newsreordered	id	income98	region	vote96	vote00
2002	53	14	1	2	2	2	1	2	1	4	1	8	2	5	99	12	3	2	2
2002	25	14	1	2	1	2	0	0	3	5	1	3	2	3	99	10	3	1	1
2002	32	15	1	2	1	3	1	0	0	-1	1	11	2	0	99	13	3	1	1
2002	41	12	0	1	0	0	0	0	0	-1	2	8	1	0	99	3	3	 	 
2002	26	12	1	2	0	0	0	0	0	-1	1	5	2	0	99	5	3	2	2
2002	68	5	0	2	0	0	0	0	0	-1	2	7	1	0	99	9	3	1	1
2002	43	14	2	1	0	0	0	0	0	-1	1	5	2	0	99	21	3	1	1
2002	35	13	1	2	1	2	3	0	2	6	1	8	2	4	99	12	3	1	1
2002	26	16	1	2	2	2	0	0	2	2	2	4	2	4	99	7	3	 	2
2002	24	11	0	2	2	2	1	1	0	-1	2	12	1	0	99	3	3	1	1
2002	48	14	1	2	0	0	0	0	0	-1	2	7	2	0	99	4	3	1	1
2002	72	11	0	2	0	0	0	0	0	-1	2	8	1	0	99	24	3	1	1
2002	31	12	1	2	0	0	0	0	0	-1	1	8	2	0	99	10	3	 	1
2002	25	11	1	2	8	2	2	1	4	10	2	11	2	2	99	3	3	1	1
2002	23	16	3	2	1	1	0	0	4	1	1	8	3	2	99	20	3	1	1
2002	58	16	3	1	0	0	0	0	0	-1	1	7	3	0	99	23	3	1	2
2002	63	13	1	2	0	0	0	0	0	-1	2	10	2	0	99	21	3	1	1
2002	56	18	4	2	1	2	2	1	0	-1	1	7	3	0	99	23	3	2	2
2002	72	15	1	2	0	0	0	0	0	-1	2	8	2	0	99	18	3	1	1
2002	26	16	3	1	0	0	0	0	0	-1	1	7	3	0	99	18	3	1	1
2002	61	16	3	1	8	2	1	1	2	1	2	4	3	4	99	20	3	1	1
2002	62	11	0	1	1	2	1	0	0	-1	1	5	1	0	99	23	3	1	1
2002	43	12	1	2	1	2	0	0	3	1	1	9	2	3	99	22	3	1	1
2002	33	20	4	2	1	1	1	1	0	-1	1	11	3	0	99	23	3	1	1
